,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
0,6507_7_A_9,0,0,0,0,0,0,1,0,0,1
1,34_11_4T2,0,0,0,0,0,0,1,0,0,1
2,7219_12_1,0,0,1,0,0,0,1,0,0,2
3,8_10_2,0,0,0,0,0,0,0,0,1,1
4,6608_10_14,0,0,1,0,0,0,1,0,0,2
5,6609_11_1,1,0,0,0,1,0,1,0,0,3
6,34_10_26,0,0,0,0,0,0,0,0,1,1
7,25_5_A_2,0,0,0,0,0,0,1,0,0,1
8,30_12_1,0,0,0,0,0,0,0,0,1,1
9,30_9_13,0,0,1,1,0,0,0,0,1,3
10,25_2_6,0,0,0,1,0,0,1,0,1,3
11,1931_02_07,0,0,1,0,0,0,0,0,0,1
12,31_5_2,0,0,0,1,0,0,0,0,1,2
13,34_11_6,0,0,1,0,0,0,0,0,0,1
14,25_5_A_9,0,0,0,0,0,0,1,0,0,1
15,2_2_2,0,0,1,0,0,0,0,0,0,1
16,6406_12_3,0,0,1,0,0,0,0,0,0,1
17,6407_8_6,0,0,1,0,0,0,1,0,0,2
18,16_2_9,0,0,0,0,0,0,1,0,1,2
19,6507_2_5,0,0,1,0,0,0,0,0,0,1
20,6507_12_2,0,0,0,0,1,0,1,0,0,2
21,6608_10_17,0,0,1,0,0,0,0,0,0,1
22,30_6_26,0,0,1,0,0,0,1,0,1,3
23,6507_7_15_S,0,0,0,0,0,0,1,0,0,1
24,34_11_4,0,0,0,0,0,0,0,0,1,1
25,9_1_1,0,0,0,0,0,0,0,0,1,1
26,25_7_4,0,0,0,0,0,0,0,0,1,1
27,34_7_A_5_H,0,0,0,0,0,0,1,0,0,1
28,7324_9_1,0,0,1,0,0,0,1,0,0,2
29,15_5,0,0,1,0,0,0,0,0,0,1
30,30_6_C10,0,0,0,0,0,0,1,0,0,1
31,30_6_20,0,0,0,0,0,0,0,0,1,1
32,25_11_6,0,0,0,0,0,0,0,0,1,1
33,34_8_4,0,0,1,0,0,0,0,0,1,2
34,31_2_11,0,0,0,0,0,0,1,0,1,2
35,1_9_1,0,0,1,0,0,0,0,0,0,1
36,6507_7_A_53,0,0,0,0,0,0,1,0,0,1
37,1_3_9_ST2,0,0,0,0,0,0,1,0,0,1
38,33_9_10,0,0,0,0,0,0,1,0,1,2
39,6507_5_A_4_H,0,0,0,0,0,0,1,0,0,1
40,30_9_J_13,0,0,0,0,0,0,1,0,0,1
41,6506_12_12,0,0,1,0,0,0,1,0,0,2
42,16_1_7,0,0,1,0,0,0,0,0,1,2
43,34_8_5,0,0,0,0,0,0,1,0,1,2
44,6506_11_5,0,0,0,0,1,0,0,0,0,1
45,6506_12_K_3,0,0,0,0,0,0,1,0,0,1
46,31_4_9,0,0,0,0,0,0,1,0,1,2
47,35_8_1,0,0,1,1,0,0,1,0,1,4
48,6406_3_8,0,0,1,0,0,0,1,0,0,2
49,25_11_3,0,0,0,0,0,0,0,0,1,1
50,34_3_1,0,0,1,1,0,0,0,0,1,3
51,6507_3_2,0,0,0,0,1,0,1,0,0,2
52,34_10_37A,0,0,0,0,0,0,1,0,0,1
53,25_8_10S,0,0,0,0,0,0,1,0,0,1
54,2_8_17S,0,0,0,0,0,0,1,0,0,1
55,34_8_8,0,0,0,0,0,0,0,0,1,1
56,2_5_8,0,0,0,0,0,0,1,0,0,1
57,6605_8_2,0,0,0,0,0,0,1,0,0,1
58,7_12_5,0,0,1,0,1,0,1,0,1,4
59,6608_10_C_4_H,0,0,0,0,0,0,1,0,0,1
60,34_10_C_50,0,0,0,0,0,0,1,0,0,1
61,30_9_1,0,0,0,0,0,0,0,0,1,1
62,6507_8_2,0,0,0,0,1,0,1,0,0,2
63,34_7_P_31,0,0,0,0,0,0,1,0,0,1
64,6506_12_I_1,0,0,0,0,0,0,1,0,0,1
65,15_12_6_S,0,0,0,0,1,0,1,0,0,2
66,7119_12_2,0,0,0,0,0,0,1,0,0,1
67,30_11_13,0,0,1,0,0,0,0,0,0,1
68,35_2_2,0,0,0,0,0,0,0,0,1,1
69,6407_6_1,1,1,0,0,1,1,1,1,0,6
70,34_7_I_2_H,0,0,0,0,0,0,1,0,0,1
71,25_8_18,0,0,0,0,0,0,0,0,1,1
72,6507_7_2,0,0,1,0,1,0,1,0,0,3
73,31_3_2,0,0,0,1,0,0,1,0,1,3
74,34_10_F_4_H,0,0,0,0,0,0,1,0,0,1
75,30_3_1,0,0,0,0,0,0,0,0,1,1
76,25_2_16,0,0,0,0,0,0,0,0,1,1
77,25_7_5,0,0,1,0,1,0,1,0,1,4
78,24_9_3,0,0,1,0,1,0,0,0,1,3
79,33_9_18,0,0,0,0,0,0,1,0,1,2
80,34_10_C_29,0,0,0,0,0,0,1,0,0,1
81,6407_7_1,1,1,1,0,1,0,0,1,0,5
82,30_3_A14,0,0,0,0,0,0,1,0,0,1
83,25_8_5_S,0,0,0,0,0,0,1,0,0,1
84,30_11_11,0,0,1,0,0,0,0,0,1,2
85,30_3_9,0,0,1,0,0,0,1,0,1,3
86,34_8_B_1,0,0,0,0,0,0,1,0,0,1
87,33_12_7,0,0,0,0,0,0,1,0,1,2
88,31_4A23,0,0,0,0,0,0,1,0,0,1
89,16_1_13,0,0,0,0,0,0,0,0,1,1
90,16_1_6,0,0,1,1,0,0,0,0,1,3
91,16_10_2,0,0,0,1,0,0,0,0,1,2
92,34_3_1S_T2,0,0,0,0,0,0,1,0,0,1
93,6704_12_1,0,0,0,0,0,0,1,0,0,1
94,7_12_3,0,0,0,0,0,0,1,0,1,2
95,7121_7_2,0,0,1,0,0,0,1,0,0,2
96,6407_2_1,1,1,0,0,1,1,1,1,0,6
97,30_9_B50H,0,0,0,0,0,0,1,0,0,1
98,34_10_25,0,0,0,0,0,0,0,0,1,1
99,6506_12_8,0,0,0,0,1,0,0,0,0,1
100,34_7_23S,0,0,0,0,0,0,1,0,0,1
101,30_9_B12,0,0,0,0,0,0,1,0,0,1
102,31_2_17,0,0,0,1,0,0,0,0,1,2
103,6507_7_A17,0,0,0,0,0,0,1,0,0,1
104,16_2_1,0,0,0,0,0,0,1,0,1,2
