WellName,Occurances
6507_7_A_9,1
34_11_4T2,1
7219_12_1,2
8_10_2,1
6608_10_14,2
6609_11_1,3
34_10_26,1
25_5_A_2,1
30_12_1,1
30_9_13,3
25_2_6,3
1931_02_07,1
31_5_2,2
34_11_6,1
25_5_A_9,1
2_2_2,1
6406_12_3,1
6407_8_6,2
16_2_9,2
6507_2_5,1
6507_12_2,2
6608_10_17,1
30_6_26,3
6507_7_15_S,1
34_11_4,1
9_1_1,1
25_7_4,1
34_7_A_5_H,1
7324_9_1,2
15_5,1
30_6_C10,1
30_6_20,1
25_11_6,1
34_8_4,2
31_2_11,2
1_9_1,1
6507_7_A_53,1
1_3_9_ST2,1
33_9_10,2
6507_5_A_4_H,1
30_9_J_13,1
6506_12_12,2
16_1_7,2
34_8_5,2
6506_11_5,1
6506_12_K_3,1
31_4_9,2
35_8_1,4
6406_3_8,2
25_11_3,1
34_3_1,3
6507_3_2,2
34_10_37A,1
25_8_10S,1
2_8_17S,1
34_8_8,1
2_5_8,1
6605_8_2,1
7_12_5,4
6608_10_C_4_H,1
34_10_C_50,1
30_9_1,1
6507_8_2,2
34_7_P_31,1
6506_12_I_1,1
15_12_6_S,2
7119_12_2,1
30_11_13,1
35_2_2,1
6407_6_1,6
34_7_I_2_H,1
25_8_18,1
6507_7_2,3
31_3_2,3
34_10_F_4_H,1
30_3_1,1
25_2_16,1
25_7_5,4
24_9_3,3
33_9_18,2
34_10_C_29,1
6407_7_1,5
30_3_A14,1
25_8_5_S,1
30_11_11,2
30_3_9,3
34_8_B_1,1
33_12_7,2
31_4A23,1
16_1_13,1
16_1_6,3
16_10_2,2
34_3_1S_T2,1
6704_12_1,1
7_12_3,2
7121_7_2,2
6407_2_1,6
30_9_B50H,1
34_10_25,1
6506_12_8,1
34_7_23S,1
30_9_B12,1
31_2_17,2
6507_7_A17,1
16_2_1,2
15_9_21S,1
35_11_2,4
30_9_B04,1
33_2_1,1
7120_1_2,1
7121_5_2,2
15_3_1,2
6201_11_2,1
2_11_1,1
6506_12_I_2H,1
25_8_15,1
34_7_8,2
7_8_1,1
2_1_8,1
6407_1_3,7
16_1_A_11,1
8_4_1,1
24_6_2,3
30_3_A_20A,1
6407_2_3,5
25_8_8,3
7_11_10_S,1
33_9,1
16_4_10,2
35_9_11A,1
33_9_18A,1
31_4_10,3
6407_7_2,6
25_11_19_S,2
31_2_3_31_2_2_R,1
34_4_5,3
33_9_5,1
25_10_4,2
15_12,1
34_8_1,4
34_7_25S,1
8_10_3,1
2_8_18,1
7_12_9,2
7221_12_1,2
25_8_C_20,1
7_11_2,2
16_2_17,2
6507_2_2,3
7120_7_1,2
6407_1_6,1
6407_6_7,2
15_9_20,2
6407_9_6,2
34_10_A_33,1
6507_7_C_3,1
6506_12_R_1_H,1
7119_9_1,1
34_10_C_32,1
7120_01_02,1
15_9_A22,1
7120_12_3,1
31_2_21,2
6507_3_9,2
6507_8_3,2
30_6_30,1
2_7_19,2
15_9_23,2
25_1_5,1
6305_7_1,1
6506_11_6,1
31_6_7,1
6407_6_3,7
33_12_9,2
2_8_11,1
16_7_11,1
35_11_4,3
7122_6_1,2
31_4_A_12,1
25_8_4,3
7321_9_1,1
35_9_1_R,1
1_6_6,1
2_7_5,1
7_12_6,1
6406_2_9,1
24_12_3,2
8_5_1,1
1_9_3,2
6506_11_A_2,1
7121_4_F_2,1
7_12_10,2
30_9_B02,1
15_9_9,5
15_6_8,2
33_9_C11,1
15_6_6,2
2_6_2,2
34_10_6,1
7_11_12,3
24_9_1,2
25_10_12,2
15_6_4,1
34_6_1,2
2_7_24,2
35_11_15,3
35_11_1,3
35_12_1,3
15_12_21,3
7120_7_3,1
31_4_A_13,1
30_9_23,1
6506_12_4,5
16_5_8,1
7_12_12,1
35_11_9,2
25_10_1,2
6407_2_Z_3,1
31_10_1,1
6407_9_4,5
6407_9_9,1
31_6_6,2
30_11_10,3
16_5_1,2
34_10_C_13,1
34_7_P_14,1
6506_12_Q_2,1
2_1_A_4,1
25_8_12S,1
35_11_3_S,1
7120_8_2,1
6407_7_A_10_H,2
25_07_05,1
9_2_7,2
35_4_1,3
35_3_4,3
33_2_2,3
8_3_1,2
6407_7_1_S,1
34_10_31,1
30_9_12,2
31_2_8,3
16_7_3,3
25_7_7,1
33_9_11,2
34_7_P_42,1
25_2_C_2H,1
15_12_22,1
35_11_11,4
34_7_23,4
15_6_8A,1
34_10_27,1
7120_6_1,1
25_5_7,3
6507_7_A_46,2
34_10_B12,1
6406_2_6A,1
34_3_5,1
7122_7_4,2
25_4_2,3
7121_1_1_R,1
15_9_A_20,1
7_11_10,1
16_2_7,3
25_10_2_R,1
35_11_17,3
6603_12_1,2
34_7_P_7,1
15_9_3,2
34_6_3_S,1
25_11_G,1
9_2_6S,1
25_9_1,4
7222_6_1,2
36_7_2,3
15_12_19,3
16_3_7,2
34_7_P_11,1
6204_10_2R,1
25_11_27,3
24_09_05,1
7_12_A08,1
30_3_10,1
17_4_1,3
15_9_21,2
25_8_5,4
6507_5_6,1
34_8_9S,1
6406_2_1,3
35_3_3,1
30_2_4,1
34_10_C_5,1
35_10_2,4
31_2_19,3
