,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace free gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]","Orig. recoverable NGL 
[mill tonn]","Orig. recoverable cond. 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]","Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]","Remaining cond.  
[mill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",Avg Core Photos,Completion logs,# of Wells,Exp start year,Exp start month,Dev start year,Dev start month,Dev end year,Dev end month,Exp Duration,Dev Duration
"Orig. inplace ass. liquid 
[mill Sm3]",0.0,0.5777753008390998,1.0554253588587897e-18,0.11099176640396276,4.552858966880512e-09,0.00428264609843547,3.148249165593923e-05,0.6477687072819096,5.830360369782188e-11,1.8395361432671774e-08,0.02411916890374857,0.00034678007385066157,0.03315751289742025,0.03238286775537489,0.01170347714153556,0.1327319703352916,0.0478994486091883,0.9362062594141023,0.002870171535441732,0.0006561505953032517,0.3041300064558484,1.5249414513942853e-05,0.0022250186172058533
"Orig. inplace ass. gas 
[bill Sm3]",0.5777753008391,0.0,0.014823800275507283,5.841161151611081e-32,6.235406856279524e-13,0.07863817012267336,4.2290002002238e-11,7.597011887418431e-10,0.003432687365296681,4.2709632406114224e-07,0.13321281086460807,1.449552942178565e-06,0.008668800034895785,0.008239667020476373,4.9120319138113204e-05,0.00019789505732128676,0.022319011849426598,0.0002384636421775425,0.279094873920618,9.816948058588214e-06,0.9084838802673242,0.572234722137092,2.073124749914688e-12
"Orig. inplace free gas 
[bill Sm3]",1.0554253588587897e-18,0.014823800275507283,0.0,0.0014585512105325475,0.0011735260155762458,1.098106778807355e-05,0.00014514801344459486,0.6119446487004994,1.231326652287736e-12,1.8011981704421998e-06,0.0018396854196959496,0.0010767453863726772,0.09602836623072628,0.0946591454348364,0.11420637100396841,0.9952774384405414,0.3443870059027112,0.2546638515047637,0.005390321165030957,0.031834527110411584,0.22221872058804162,8.97521082981955e-05,0.3766981855092564
"Orig. inplace oil 
[mill Sm3]",0.11099176640396276,5.841161151611081e-32,0.0014585512105325475,0.0,1.1836500412115619e-06,0.002088482854786491,5.17606241552094e-13,3.4093205876861186e-18,0.07941150648412999,0.0002560196760696411,0.003818154307539826,1.6206059377150054e-08,0.06045918674826424,0.05483067070484131,0.00027011963872667244,0.031072846352015376,0.05094737454527937,0.0021484990447713515,0.18281396087100385,4.968085233350345e-07,0.5713230943622851,0.4668028359470182,1.9003778354754481e-13
"Orig. recoverable NGL 
[mill tonn]",4.552858966880512e-09,6.235406856279524e-13,0.0011735260155762458,1.1836500412115619e-06,0.0,0.2677053969552626,5.680041140920854e-17,1.815667536998403e-07,1.3049268379726755e-13,1.893354523311087e-30,0.5550887291981212,1.247688150482986e-10,0.0036830104361763615,0.0031604043540901187,0.0047784310034126075,0.006127837483335184,0.018914706001137226,0.036088046804332294,0.2109616776856193,1.5211543802452662e-07,0.3581448243236742,0.03505877981422416,1.3100432003469948e-10
"Orig. recoverable cond. 
[mill Sm3]",0.00428264609843547,0.07863817012267336,1.0981067788073493e-05,0.002088482854786491,0.2677053969552626,0.0,0.015690336951195514,0.0004349468483236719,0.18408524275219915,0.6105247933746389,1.706621126721462e-06,0.6790398664838081,0.38102238811072353,0.3567776112759803,0.8901167887618516,0.08361910777116839,0.35530980455552974,0.06328239369250561,0.1580513436905806,0.5171143797961624,0.9385005881637267,0.06171700161801479,0.34837028699114747
"Orig. recoverable oil eq. 
[mill Sm3 o.e]",3.148249165593923e-05,4.2290002002238e-11,0.00014514801344459486,5.17606241552094e-13,5.680041140920854e-17,0.015690336951195514,0.0,4.375623836540182e-11,6.091674433432516e-10,5.869215598844085e-10,0.06879492619395458,1.031117963542791e-18,0.01387604685689735,0.011587133084782632,5.825263216822629e-06,0.00023399324034495604,0.022131694821521,4.511930715952862e-05,0.04774913413179788,7.203700032819873e-10,0.9484138644257459,0.020381528250851,2.4098508974365945e-23
"Remaining oil 
[mill Sm3]",0.6477687072819096,7.597011887418431e-10,0.6119446487004994,3.4093205876861186e-18,1.815667536998403e-07,0.0004349468483236719,4.375623836540182e-11,0.0,5.686336460795429e-08,5.2084555163305824e-11,0.008305461247968438,2.1866136859608252e-32,0.021563539748488497,0.02185291894718144,0.01888692114787635,0.4065852887284903,0.6864339647286921,0.15081472243266736,0.6795779249404222,1.7074845088969781e-10,0.5562198521791606,0.3772766834794049,1.608861798108317e-05
"Remaining gas 
[bill Sm3]",5.830360369782188e-11,0.0034326873652966877,1.231326652287736e-12,0.07941150648412999,1.3049268379726755e-13,0.18408524275219915,6.091674433432516e-10,5.6863364607954074e-08,0.0,1.050150676761137e-34,0.0008169631217272462,2.4612870068162686e-24,0.01400799806392878,0.0159550016703666,0.10820712727904612,0.5371430374312618,0.1703356389574472,0.007899303231982284,0.12015052360537812,1.8750432824888474e-09,0.23553331447702108,0.00021562285053397772,0.005549192252545368
"Remaining NGL 
[mill tonn]",1.8395361432671774e-08,4.2709632406114224e-07,1.8011981704421998e-06,0.0002560196760696411,1.893354523311087e-30,0.6105247933746389,5.869215598844085e-10,5.2084555163305824e-11,1.050150676761137e-34,0.0,0.7879529739377166,6.833938152636267e-19,0.000951178241536925,0.0010083146884497904,0.13344649986786059,0.9456550729752932,0.13465433077705846,0.12974011804749713,0.2488718781726777,1.1416804423755839e-08,0.7402635811557525,0.016102417308331497,0.0009194310531054004
