Field Name,Frequency ,,,,,
AASTA HANSTEEN,8,,,,,
ÆRFUGL,4,,,,,
ALBUSKJELL,2,,,,,
ALVE,8,,,,,
ALVHEIM,15,,,,,
ÅSGARD,10,,,,,
ATLA,5,,,,,
BALDER,7,,,,,
BAUGE,1,,,,,
BLANE,3,,,,,
BØYLA,2,,,,,
BRAGE,4,,,,,
BRYNHILD,9,,,,,
BYRDING,1,,,,,
COD,3,,,,,
DRAUGEN,4,,,,,
DUVA,2,,,,,
DVALIN,3,,,,,
EDDA,1,,,,,
EDVARD GRIEG,1,,,,,
EKOFISK,4,,,,,
ELDFISK,4,,,,,
EMBLA,4,,,,,
ENOCH,1,,,,,
FENJA,4,,,,,
FLYNDRE,2,,,,,
FRAM,12,,,,,
FRAM H-NORD,1,,,,,
FRIGG,1,,,,,
FRØY,1,,,,,
GAUPE,7,,,,,
GIMLE,3,,,,,
GINA KROG,2,,,,,
GJØA,4,,,,,
GLITNE,4,,,,,
GOLIAT,19,,,,,
GRANE,1,,,,,
GUDRUN,4,,,,,
GULLFAKS,8,,,,,
GULLFAKS SØR,18,,,,,
GUNGNE,2,,,,,
GYDA,10,,,,,
HANZ,1,,,,,
HEIDRUN,10,,,,,
HEIMDAL,2,,,,,
HOD,4,,,,,
HULDRA,1,,,,,
HYME,2,,,,,
ISLAY,1,,,,,
IVAR AASEN,9,,,,,
JETTE,2,,,,,
JOHAN CASTBERG,23,,,,,
JOHAN SVERDRUP,2,,,,,
JOTUN,4,,,,,
KNARR,2,,,,,
KRISTIN,5,,,,,
KVITEBJØRN,2,,,,,
LILLE-FRIGG,2,,,,,
MARIA,8,,,,,
MARTIN LINGE,6,,,,,
MARULK,2,,,,,
MIKKEL,3,,,,,
MIME,1,,,,,
MORVIN,1,,,,,
MURCHISON,1,,,,,
NJORD,9,,,,,
NORDØST FRIGG,2,,,,,
NORNE,2,,,,,
NOVA,1,,,,,
ODA,1,,,,,
ODIN,14,,,,,
ORMEN LANGE,7,,,,,
OSEBERG,13,,,,,
OSEBERG ØST,3,,,,,
OSEBERG SØR,14,,,,,
OSELVAR,1,,,,,
ØST FRIGG,5,,,,,
REV,3,,,,,
RINGHORNE ØST,2,,,,,
SIGYN,7,,,,,
SINDRE,1,,,,,
SKARV,1,,,,,
SKIRNE,3,,,,,
SKOGUL,1,,,,,
SKULD,2,,,,,
SLEIPNER ØST,2,,,,,
SLEIPNER VEST,8,,,,,
SNØHVIT,10,,,,,
SNORRE,8,,,,,
SOLVEIG,4,,,,,
STATFJORD,1,,,,,
STATFJORD NORD,1,,,,,
STATFJORD ØST,1,,,,,
SVALIN,4,,,,,
SYGNA,2,,,,,
TAMBAR,1,,,,,
TAMBAR ØST,1,,,,,
TOMMELITEN GAMMA,2,,,,,
TOR,6,,,,,
TORDIS,5,,,,,
TRESTAKK,1,,,,,
TROLL,3,,,,,
TROLL BRENT B,1,,,,,
TRYM,2,,,,,
TUNE,4,,,,,
TYRIHANS,8,,,,,
ULA,2,,,,,
URD,11,,,,,
UTGARD,1,,,,,
VALE,1,,,,,
VALEMON,5,,,,,
VALHALL,3,,,,,
VARG,4,,,,,
VEGA,9,,,,,
VESLEFRIKK,6,,,,,
VEST EKOFISK,1,,,,,
VIGDIS,4,,,,,
VILJE,1,,,,,
VISUND,8,,,,,
VISUND SØR,2,,,,,
VOLUND,1,,,,,
VOLVE,1,,,,,
YME,5,,,,,
YTTERGRYTA,2,,,,,
