,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
0,34_10_4,0,0,0,0,0,0,1,0,1,4
1,2_5_3,0,0,1,0,0,0,1,0,0,4
2,6605_8_1,0,0,0,0,0,0,1,0,0,2
3,34_10_38,0,0,0,0,0,0,0,0,1,2
4,30_9_28,0,0,1,0,0,0,1,0,1,6
5,6406_3_2,1,1,1,0,0,1,1,1,0,12
6,7_7_1,0,0,0,0,1,0,1,0,1,6
7,34_10_C10,0,0,0,0,0,0,1,0,0,2
8,34_7_19,0,0,0,0,0,0,0,0,1,2
9,1_3_12,0,0,0,0,0,0,1,0,0,2
10,6507_7_A_27,0,0,0,0,0,0,1,0,0,2
11,33_9_10,0,0,0,0,0,0,1,0,1,4
12,15_6_1,0,0,0,0,0,0,0,0,1,2
13,34_10_8,0,0,0,0,0,0,1,0,1,4
14,6403_6_1,0,0,0,0,0,0,1,0,0,2
15,25_11_21S,0,0,0,0,0,0,1,0,0,2
16,2_1_A_07,0,0,0,0,0,0,1,0,0,2
17,2_4_2,0,0,1,0,0,0,0,0,0,2
18,6507_11_9,0,0,1,0,0,0,1,0,0,4
19,30_2_4,0,0,0,0,0,0,0,0,1,2
20,34_10_C_50,0,0,0,0,0,0,1,0,0,2
21,34_10_C_4,0,0,0,0,0,0,1,0,0,2
22,16_7_5,0,0,0,1,1,0,1,0,1,8
23,7224_6_1,0,0,1,0,0,0,1,0,0,4
24,25_08_05_S,0,0,0,0,1,0,0,0,0,2
25,30_4_2,0,0,0,1,0,0,1,0,1,6
26,16_5_4,0,0,0,0,0,0,1,0,1,4
27,30_6_C7,0,0,0,0,0,0,1,0,0,2
28,8_10_4,0,0,1,0,0,0,1,0,1,6
29,6507_7_A17,0,0,0,0,0,0,1,0,0,2
30,25_11_11,0,0,0,0,0,0,0,0,1,2
31,7220_11_2,0,0,0,0,0,0,1,0,0,2
32,34_10_1,0,0,1,0,1,0,0,0,1,6
33,6406_1_1,0,0,1,0,0,0,1,0,0,4
34,25_2_10,0,0,1,0,0,0,0,0,1,4
35,2_1_A_4,0,0,0,0,0,0,1,0,0,2
36,6506_12_9,0,0,0,0,1,0,0,0,0,2
37,30_6_13,0,0,0,0,0,0,1,0,1,4
38,35_12_2,0,0,1,0,0,0,1,0,1,6
39,6407_9_A_2,0,0,0,0,1,0,1,0,0,4
40,15_6_6,0,0,0,0,0,0,1,0,1,4
41,6506_12_R_4,0,0,0,0,0,0,1,0,0,2
42,16_1_7,0,0,1,0,0,0,0,0,1,4
43,7219_9_2,0,0,1,0,0,0,0,0,0,2
44,33_12_10,0,0,0,0,0,0,1,0,1,4
45,30_6_12,0,0,0,0,0,0,0,0,1,2
46,34_7_C_5,0,0,0,0,0,0,1,0,0,2
47,7_12_A_18,0,0,0,0,0,0,1,0,0,2
48,7120_8_2,0,0,0,0,0,0,1,0,0,2
49,15_6_5,0,0,0,0,1,0,0,0,1,4
50,25_2_4,0,0,1,0,1,0,0,0,1,6
51,35_9_3_T2,0,0,0,0,0,0,1,0,0,2
52,2_2_1,0,0,1,0,0,0,0,0,0,2
53,15_9_7,0,0,0,1,1,0,1,0,1,8
54,6608_10_6,0,0,1,0,0,0,1,0,0,4
55,25_8_8,0,0,1,0,1,0,0,0,1,6
56,6507_8_3,0,0,0,0,1,0,1,0,0,4
57,30_3_A_20A,0,0,0,0,0,0,1,0,0,2
58,30_9_B18,0,0,0,0,0,0,1,0,0,2
59,34_10_7,0,0,0,1,0,0,1,0,1,6
60,15_12_19,0,0,1,0,0,0,1,0,1,6
61,2_8_15_T2,0,0,0,0,0,0,1,0,0,2
62,34_10_11,0,0,0,0,0,0,0,0,1,2
