,WellName,Occurances
0,34_10_4,0.0
1,2_5_3,0.0
2,6605_8_1,0.0
3,34_10_38,0.0
4,30_9_28,0.0
5,6406_3_2,0.0
6,7_7_1,0.0
7,34_10_C10,0.0
8,34_7_19,0.0
9,1_3_12,0.0
10,6507_7_A_27,0.0
11,33_9_10,0.0
12,15_6_1,0.0
13,34_10_8,0.0
14,6403_6_1,0.0
15,25_11_21S,0.0
16,2_1_A_07,0.0
17,2_4_2,0.0
18,6507_11_9,0.0
19,30_2_4,0.0
20,34_10_C_50,0.0
21,34_10_C_4,0.0
22,16_7_5,0.0
23,7224_6_1,0.0
24,25_08_05_S,0.0
25,30_4_2,0.0
26,16_5_4,0.0
27,30_6_C7,0.0
28,8_10_4,0.0
29,6507_7_A17,0.0
30,25_11_11,0.0
31,7220_11_2,0.0
32,34_10_1,0.0
33,6406_1_1,0.0
34,25_2_10,0.0
35,2_1_A_4,0.0
36,6506_12_9,0.0
37,30_6_13,0.0
38,35_12_2,0.0
39,6407_9_A_2,0.0
40,15_6_6,0.0
41,6506_12_R_4,0.0
42,16_1_7,0.0
43,7219_9_2,0.0
44,33_12_10,0.0
45,30_6_12,0.0
46,34_7_C_5,0.0
47,7_12_A_18,0.0
48,7120_8_2,0.0
49,15_6_5,0.0
50,25_2_4,0.0
51,35_9_3_T2,0.0
52,2_2_1,0.0
53,15_9_7,0.0
54,6608_10_6,0.0
55,25_8_8,0.0
56,6507_8_3,0.0
57,30_3_A_20A,0.0
58,30_9_B18,0.0
59,34_10_7,0.0
60,15_12_19,0.0
61,2_8_15_T2,0.0
62,34_10_11,0.0
63,7317_9_1,0.0
64,6707_10_3,0.0
65,25_10_7,0.0
66,15_9_21S,0.0
67,25_7_1,0.0
68,6506_11_10,0.0
69,6407_7_5,0.0
70,24_9_6,0.0
71,30_9_B03,0.0
72,34_7_17,0.0
73,6204_10_1,0.0
74,2_7_13,0.0
75,9_2_A_4,0.0
76,25_10_8,0.0
77,1_9_5,0.0
78,34_10_20,0.0
79,7_12_3_A,0.0
80,16_1_25,0.0
81,34_7_H_2,0.0
82,7121_8_1,0.0
83,6_3_1,0.0
84,7_8_6,0.0
85,30_11_2,0.0
86,16_4_9,0.0
87,25_6_4,0.0
88,34_10_14,0.0
89,7226_2_1,0.0
90,15_12_24,0.0
91,6406_2_4SR,0.0
92,31_5_6,0.0
93,33_12_3,0.0
94,34_7_30_SR,0.0
95,7_7_4,0.0
96,35_3_5,0.0
97,25_4_7,0.0
98,25_8_6,0.0
99,6506_12_K_1,0.0
100,16_11_1,0.0
101,7121_4_G_4,0.0
102,6507_7_15,0.0
103,25_8_11,0.0
104,6407_5_1,0.0
105,6507_6_2,0.0
106,2_8_18,0.0
107,25_10_9,0.0
108,34_10_C_13,0.0
109,3_4_1,0.0
110,34_10_A37,0.0
111,25_11_15,0.0
112,9_1_1,0.0
113,6507_3_L_2_H,0.0
114,9_2_4_S,0.0
115,6707_10_2A,0.0
116,35_11_4,0.0
117,30_6_C_8,0.0
118,8_3_2,0.0
119,7_12_12,0.0
120,34_10_C_2,0.0
121,7324_6_1,0.0
122,31_2_P_41,0.0
123,34_2_2,0.0
124,34_4_4,0.0
125,7321_8_1,0.0
126,7_4_1,0.0
127,16_2_16,0.0
128,7122_07_03,0.0
129,6407_2_3,0.0
130,30_3_A8,0.0
131,15_9_24,0.0
132,30_9_24,0.0
133,30_3_A3,0.0
134,33_12_B_16A,0.0
135,25_11_27,0.0
136,6507_3_3,0.0
137,7120_1_4,0.0
138,34_7_P_31,0.0
139,6506_12_3,0.0
140,2_7_26_S,0.0
141,35_9_14,0.0
142,2_4_K_09,0.0
143,7220_7_1,0.0
144,29_6_1,0.0
145,35_11_18,0.0
146,30_9_B13S,0.0
147,16_1_23,0.0
148,7_12_A07,0.0
149,7121_7_N_3,0.0
150,6407_7_3,0.0
151,34_8_13,0.0
152,25_5_A4,0.0
153,35_3_6,0.0
154,16_7_4,0.0
155,6407_12_2,0.0
156,2_7_4,0.0
157,7_12_9,0.0
158,25_8_8_A,0.0
159,34_10_A_33,0.0
160,31_2_M_42,0.0
161,6406_12_2,0.0
162,30_3_5,0.0
163,30_9_F_6,0.0
164,6507_12_2,0.0
165,7325_4_1,0.0
166,30_9_3A,0.0
167,30_11_8,0.0
168,6407_7_2,0.0
169,24_12_1,0.0
170,6507_7_A_22,0.0
171,7324_8_1,0.0
172,1_3_9_ST2,0.0
173,7222_11_1,0.0
174,6607_12_3,0.0
175,7125_4_1,0.0
176,2_7_5,0.0
177,9_8_1,0.0
178,1_5_2,0.0
179,6506_11_9,0.0
180,33_12_9,0.0
181,25_8_13,0.0
182,25_1_8,0.0
183,25_10_4,0.0
184,6506_12_L_2,0.0
185,35_8_2,0.0
186,9_4_1,0.0
187,30_6_24,0.0
188,6204_10_2,0.0
189,31_6_3,0.0
190,30_11_14,0.0
191,2_7_27_S,0.0
192,30_2_1,0.0
193,16_7_1,0.0
194,34_7_6,0.0
195,31_2_3_31_2_2_R,0.0
196,36_1_1,0.0
197,7_11_7,0.0
198,6610_2_1,0.0
199,16_4_4,0.0
200,31_2_3,0.0
201,30_9_F_26,0.0
202,30_9_3,0.0
203,1_2_2,0.0
204,30_6_11,0.0
205,6407_10_3,0.0
206,31_4_8,0.0
207,16_7_11,0.0
208,6507_5_6,0.0
209,24_12_5,0.0
210,33_9_M_4H,0.0
211,6305_5_1,0.0
212,31_2_2,0.0
213,6506_11_3,0.0
214,7120_1_2,0.0
215,15_6_3,0.0
216,7120_7_2,0.0
217,2_5_5,0.0
218,34_7_I_1_H,0.0
219,18_10_1,0.0
220,2011_02_01,0.0
221,6306_3_2,0.0
222,9_4_3,0.0
223,6610_7_1,0.0
224,15_9_A_21,0.0
225,34_7_P_42,0.0
226,1_3_5,0.0
227,30_3_A_17,0.0
228,16_7_10,0.0
229,6406_12_3,0.0
230,6204_11_01,0.0
231,15_12_6,0.0
232,6706_6_1,0.0
233,6506_7_4,0.0
234,25_9_4,0.0
235,6507_12_1,0.0
236,6609_11_1,0.0
237,6608_10_E_2_BH,0.0
238,25_5_4,0.0
239,6305_12_1,0.0
240,31_2_9,0.0
241,2003_09_02,0.0
242,6506_12_10,0.0
243,6507_7_13A,0.0
244,33_9_21,0.0
245,31_3_4,0.0
246,31_4_A_7,0.0
247,15_3_3,0.0
248,34_10_A25A,0.0
249,25_6_2,0.0
250,16_1_21,0.0
251,6707_10_1,0.0
252,34_10_47,0.0
253,16_2_1,0.0
254,2022_02_07,0.0
255,16_1_22,0.0
256,15_3_9,0.0
257,15_9_6,0.0
258,34_10_17,0.0
259,35_11_1,0.0
260,6507_3_4,0.0
261,25_4_5,0.0
262,2_4_23,0.0
263,6507_7_C_3,0.0
264,30_3_A12,0.0
265,34_7_25,0.0
266,31_5_2,0.0
267,6608_10_8,0.0
268,2_11_4,0.0
269,30_11_6,0.0
270,34_7_10,0.0
271,6608_10_C_4_H,0.0
272,35_11_11,0.0
273,2_11_A_1_B,0.0
274,34_11_A_3,0.0
275,6507_7_B_3_H,0.0
276,34_10_32,0.0
277,33_9_L_4H,0.0
278,6406_6_1,0.0
279,30_6_17,0.0
280,6608_8_1,0.0
281,7_12_A_3,0.0
282,30_6_21,0.0
283,6406_12_3_A,0.0
284,6407_6_7,0.0
285,25_11_23,0.0
286,35_3_3,0.0
287,6506_11_5S,0.0
288,34_8_12,0.0
289,35_11_13,0.0
290,16_10_3,0.0
291,34_7_1,0.0
292,31_3_2,0.0
293,16_2_U_18,0.0
294,35_9_11A,0.0
295,16_2_17,0.0
296,34_7_29,0.0
297,7321_9_1,0.0
298,34_8_14,0.0
299,15_5_1,0.0
300,6406_2_6,0.0
301,30_7_1,0.0
302,30_9_B29,0.0
303,31_2_11,0.0
304,25_2_5,0.0
305,35_11_14,0.0
306,6407_2_Z_3,0.0
307,2_6_5,0.0
308,2_4_17,0.0
309,34_8_15,0.0
310,1_3_3,0.0
311,34_4_2,0.0
312,15_12_16,0.0
313,6406_6_3,0.0
314,6507_11_4,0.0
315,25_8_12,0.0
316,30_11_4,0.0
317,6507_7_11,0.0
318,9_2_8_S,0.0
319,31_4_A_01,0.0
320,6406_12_3_S,0.0
321,6607_12_03,0.0
322,35_2_3,0.0
323,33_5_1,0.0
324,7324_3_1,0.0
325,15_9_16,0.0
326,16_3_3,0.0
327,6608_10_04,0.0
328,34_7_P_25,0.0
329,17_11_2,0.0
330,6407_5_B_3_H,0.0
331,16_1_13,0.0
332,16_2_6,0.0
333,7120_6_1,0.0
334,34_7_A_1_H,0.0
335,25_1_8_S,0.0
336,8_10_2,0.0
337,6506_6_1,0.0
338,34_7_26,0.0
339,6204_11_02,0.0
340,15_6_11,0.0
341,31_2_D_9,0.0
342,24_6_2,0.0
343,6608_10_H_3,0.0
344,25_8_4,0.0
345,6507_10_1,0.0
346,7220_2_1,0.0
347,15_9_20,0.0
348,34_8_16,0.0
349,6407_8_5,0.0
350,7_11_3,0.0
351,35_11_12,0.0
352,1_2,0.0
353,35_12_6,0.0
354,6407_7_4,0.0
355,16_4_3,0.0
356,24_9_7,0.0
357,16_5_1,0.0
358,31_2_1,0.0
359,6507_7_6,0.0
360,25_2_17,0.0
361,7225_3_1,0.0
362,34_10_54,0.0
363,24_9_12,0.0
364,10_4_1,0.0
365,35_8_1,0.0
366,36_7_2,0.0
367,15_12_7,0.0
368,34_7_11,0.0
369,30_6_C15,0.0
370,6506_12_11_S,0.0
371,34_10_C8,0.0
372,2_11_6_S,0.0
373,3_7_8,0.0
374,34_10_G_3,0.0
375,2_8A_10B,0.0
376,7_11_10,0.0
377,7219_12_1,0.0
378,6406_2_3,0.0
379,30_9_18,0.0
380,6507_2_1,0.0
381,31_4_6,0.0
382,35_11_7,0.0
383,6506_11_5,0.0
384,2_7_B_08,0.0
385,6608_10_2,0.0
386,6305_5_M2,0.0
387,33_9_13,0.0
388,25_2_8,0.0
389,30_9_9,0.0
390,7_12_A16,0.0
391,34_10_3,0.0
392,6608_10_12,0.0
393,7220_5_1,0.0
394,15_9_18,0.0
395,25_1_2,0.0
396,2029_02_07,0.0
397,15_6_4,0.0
398,34_10_K_2H,0.0
399,6707_10_2,0.0
400,25_11_28,0.0
401,15_6_2_R,0.0
402,6506_12_5,0.0
403,33_9_16,0.0
404,7122_4_1,0.0
405,16_2_7,0.0
406,2_8_7,0.0
407,6204_11_2,0.0
408,1_9_7T3,0.0
409,9_2_8,0.0
410,6506_12_I_1,0.0
411,30_9_13,0.0
412,6506_11_N_3_H,0.0
413,2_7_20,0.0
414,6506_12_J_1,0.0
415,34_7_3,0.0
416,30_3_A_7_A,0.0
417,30_9_8,0.0
418,2_8_6,0.0
419,15_9_13,0.0
420,18_11_1,0.0
421,34_10_C_1,0.0
422,34_7_E_2_H,0.0
423,16_1_24,0.0
424,6506_12_N_1,0.0
425,34_10_5,0.0
426,7220_7_2,0.0
427,6407_9_B1,0.0
428,6204_10_2R,0.0
429,15_5_3,0.0
430,7120_6_2,0.0
431,33_9_3,0.0
432,1931_02_07,0.0
433,34_4_9,0.0
434,30_9_14,0.0
435,34_4_10,0.0
436,34_10_22,0.0
437,31_2_16,0.0
438,7_11_2,0.0
439,33_9_8,0.0
440,34_10_37A,0.0
441,7119_12_2,0.0
442,6406_3_8,0.0
443,34_11_2S,0.0
444,10_8_1,0.0
445,7226_11_01,0.0
446,7_12_A_15,0.0
447,1_9_6,0.0
448,25_4_8,0.0
449,1_5_3,0.0
450,34_10_C_5,0.0
451,7120_6_3,0.0
452,16_1_12,0.0
453,15_9_17,0.0
454,6507_7_1,0.0
455,7316_5_1,0.0
456,6407_9_7,0.0
457,6406_3_4,0.0
458,6507_7_3,0.0
459,16_8_3,0.0
460,30_9_27,0.0
461,33_12_7,0.0
462,6407_9_A_2_A,0.0
463,2_2_2,0.0
464,25_8_10_S,0.0
465,6407_7_7,0.0
466,25_5_2,0.0
467,30_3_1,0.0
468,6407_9_4,0.0
469,30_11_5,0.0
470,25_10_10,0.0
471,2_7_25_S,0.0
472,31_4_3,0.0
473,35_9_9,0.0
474,16_7_9,0.0
475,31_4_A_13,0.0
476,9_4_4,0.0
477,6406_9_3,0.0
478,7228_7_1,0.0
479,30_3_10,0.0
480,33_9,0.0
481,30_9_B25,0.0
482,34_10_33,0.0
483,33_9_A_37_B,0.0
484,2_7_25,0.0
485,6506_11_2,0.0
486,6406_2_R_4,0.0
487,25_4_6S,0.0
488,16_3_2,0.0
489,6610_2_1S,0.0
490,31_2_17S,0.0
491,30_6_6,0.0
492,30_6_16,0.0
493,7219_12_1A,0.0
494,33_9_6,0.0
495,6507_7_16,0.0
496,30_9_B23,0.0
497,6507_7_A_35,0.0
498,7122_7_3,0.0
499,34_8_11,0.0
500,7324_2_1,0.0
501,34_2_2_R,0.0
502,6506_12_J_3H,0.0
503,25_11_2,0.0
504,15_9_B_6,0.0
505,25_4_4,0.0
506,2_11_3,0.0
507,35_11_10,0.0
508,31_6_A_33,0.0
509,33_12_2,0.0
510,31_4_1,0.0
511,34_8_4,0.0
512,15_9_B_10,0.0
513,30_6_29,0.0
514,34_10_L_4_H,0.0
515,34_7_25S,0.0
516,7123_4_1,0.0
517,16_8_2,0.0
518,15_9_14,0.0
519,15_2_1,0.0
