,WellName
0,35_4_1
1,34_10_15
2,16_1_7
3,16_8_3
4,31_4_12
5,34_10_21
6,7_12_12
7,30_9_1
8,6205_3_1
9,15_9_9
10,16_7_2
11,31_2_14
12,35_3_1
13,6_3_1
14,30_3_4
15,7_12_9
16,25_10_3
17,9_4_2
18,30_10_6
19,30_9_18
20,34_8_11
21,25_12_1
22,30_9_7
23,30_9_2
24,15_12_20
25,7_12_11
26,34_7_35
27,16_10_2
28,35_9_1
29,35_11_7
30,34_10_11
31,36_1_1
32,34_8_9
33,16_2_6
34,31_5_1
35,15_3_7
36,15_9_14
37,25_4_4
38,16_4_8
39,15_9_22
40,31_2_21
41,25_10_11
42,30_9_9
43,31_5_5
44,34_10_1
45,30_6_8
46,15_3_3
47,15_6_13
48,31_5_6
49,34_8_5
50,35_2_1
51,34_7_7
52,31_2_6
53,30_7_8
54,36_7_1
55,30_6_26
56,25_11_17
57,25_1_8
58,16_7_9
59,34_10_13
60,30_6_22
61,25_6_3
62,25_2_2
63,25_6_2
64,25_11_7
65,34_3_1
66,34_10_38
67,18_10_1
68,25_8_1
69,34_10_41
70,31_2_7
71,31_4_6
72,34_8_6
73,16_5_4
74,30_6_20
75,16_5_1
76,35_12_3
77,34_10_42
78,30_6_2
79,6201_11_2
80,11_10_1
81,31_4_4
82,34_10_49
83,7_11_5
84,15_5_5
85,16_2_19
86,17_12_4
87,34_10_28
88,30_9_13
89,34_7_2
90,15_6_12
91,15_8_1
92,30_6_10
93,30_6_24
94,34_3_3
95,16_1_4
96,35_3_3
97,25_1_5
98,15_5_1
99,30_9_11
100,31_4_7
101,7_12_7
102,34_5_1
103,26_5_1
104,34_8_17
105,34_10_46
106,31_6_7
107,6201_11_1
108,25_11_2
109,31_6_8
110,30_11_11
111,31_4_10
112,9_12_1
113,31_4_9
114,15_9_3
115,24_9_2
116,17_12_3
117,16_2_1
118,33_12_5
119,35_8_3
120,34_10_34
121,15_12_4
122,34_10_10
123,33_9_18
124,9_2_4
125,30_9_21
126,25_5_2
127,25_4_9
128,16_2_10
129,8_4_1
130,16_2_14
131,36_4_1
132,7_11_3
133,25_7_5
134,16_7_1
135,33_12_3
136,24_9_9
137,30_10_1
138,7_11_7
139,16_4_1
140,31_2_8
141,34_3_2
142,25_2_9
143,9_1_1
144,31_2_16
145,34_3_5
146,16_2_12
147,35_11_4
148,17_12_2
149,25_10_12
150,25_8_14
151,25_5_5
152,15_8_2
153,31_2_9
154,35_11_15
155,25_11_18
156,30_7_7
157,16_5_3
158,30_9_20
159,35_9_9
160,30_9_27
161,34_10_20
162,9_3_2
163,30_9_24
164,30_7_5
165,30_11_3
166,25_11_28
167,31_2_19
168,30_6_3
169,16_2_20
170,34_2_3
171,25_2_10
172,15_9_24
173,24_9_3
174,30_11_10
175,34_10_47
176,25_5_1
177,35_11_14
178,35_3_5
179,34_4_11
180,35_11_5
181,35_8_5
182,34_10_24
183,24_12_5
184,30_6_18
185,9_2_2
186,25_11_22
187,33_12_6
188,7_1_2
189,30_11_7
190,34_10_22
191,31_8_1
192,25_11_3
193,25_5_8
194,16_2_13
195,34_10_29
196,34_7_11
197,34_7_12
198,35_11_17
199,16_2_4
200,25_1_9
201,30_10_2
202,16_7_8
203,33_9_1
204,33_5_2
205,25_11_24
206,9_2_9
207,25_4_1
208,16_6_1
209,34_10_45
210,15_12_11
211,35_11_1
212,34_2_2
213,15_9_15
214,30_4_2
215,34_4_4
216,17_9_1
217,15_9_13
218,35_9_8
