dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl,dscDateUpdated,dscDateUpdatedMax,DatesyncNPD
1/2-1 Blane,Repsol Norge AS,Producing,OIL,1/2-1,North Sea,BLANE,01.07.2005,1989,,BUSINESS ARRANGEMENT AREA,BLANE UNIT,43814,3437650,1382,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43814,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437650,03.10.2019,03.10.2019,24.01.2020
1/3-1,OMV (Norge) AS,Production is unlikely,GAS,1/3-1,North Sea,,,1968,,PRODUCTION LICENSE,970,43820,,154,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43820,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43820,11.10.2019,03.10.2019,24.01.2020
1/3-11 (Ipswich),OMV (Norge) AS,Production is unlikely,OIL,1/3-11,North Sea,,,2008,,PRODUCTION LICENSE,970,4999216,,5806,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4999216,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4999216,11.10.2019,03.10.2019,24.01.2020
1/3-3 Tambar,Aker BP ASA,Producing,OIL,1/3-3,North Sea,TAMBAR,10.04.2000,1983,,PRODUCTION LICENSE,065,43826,1028599,87,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43826,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1028599,03.10.2019,03.01.2020,24.01.2020
1/3-6 Oselvar,DNO Norge AS,Shut down,GAS/CONDENSATE,1/3-6,North Sea,OSELVAR,19.06.2009,1991,,PRODUCTION LICENSE,274,43832,5506919,1521,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43832,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=5506919,03.01.2020,03.01.2020,24.01.2020
1/3-K-5 Tambar Øst,Aker BP ASA,Producing,OIL,1/3-K-5,North Sea,TAMBAR ØST,28.06.2007,2007,,BUSINESS ARRANGEMENT AREA,TAMBAR ØST UNIT,4999519,4999528,5485,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4999519,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4999528,03.10.2019,03.01.2020,24.01.2020
1/5-2 Flyndre,Total Oil UK Limited,Producing,OIL,1/5-2,North Sea,FLYNDRE,23.05.2014,1974,,BUSINESS ARRANGEMENT AREA,FLYNDRE UNIT,43838,24635035,238,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43838,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=24635035,03.10.2019,03.10.2019,24.01.2020
1/5-3 S,,Production is unlikely,OIL,1/5-3 S,North Sea,,,1998,,,,3000726,,3257,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3000726,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=3000726,03.10.2019,03.10.2019,24.01.2020
1/6-1 Albuskjell,ConocoPhillips Skandinavia AS,Shut down,GAS/CONDENSATE,1/6-1,North Sea,ALBUSKJELL,25.04.1975,1972,,PRODUCTION LICENSE,018,43844,43437,239,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43844,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43437,03.10.2019,03.10.2019,24.01.2020
1/9-1 Tommeliten Alpha,ConocoPhillips Skandinavia AS,Production in clarification phase,GAS/CONDENSATE,1/9-1,North Sea,,,1977,,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,43850,,243,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43850,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43850,09.01.2020,10.01.2020,24.01.2020
