fldName,fldOwnerName,fldOwnerKind,fldOwnerFrom,fldOwnerTo,fldLicenseeFrom,fldLicenseeTo,cmpLongName,fldCompanyShare,fldSdfiShare,fldNpdidField,cmpNpdidCompany,fldLicenseeDateUpdated,DatesyncNPD
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,,Vår Energi AS,12.388000,,43437,33360957,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,,Equinor Energy AS,7.604000,,43437,32011216,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,10.12.2018,,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,10.12.2018,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,10.12.2018,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,10.12.2018,Eni Norge AS,12.388000,,43437,2388594,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,10.12.2018,Equinor Energy AS,7.604000,,43437,32011216,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,16.05.2018,10.12.2018,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,16.05.2018,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,16.05.2018,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,16.05.2018,Eni Norge AS,12.388000,,43437,2388594,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,16.05.2018,Statoil Petroleum AS,7.604000,,43437,17237817,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,02.11.2009,16.05.2018,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,02.11.2009,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,02.11.2009,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,02.11.2009,Eni Norge AS,12.388000,,43437,2388594,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,02.11.2009,StatoilHydro Petroleum AS,7.604000,,43437,4511658,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2009,02.11.2009,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.10.2007,01.01.2009,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.10.2007,01.01.2009,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.10.2007,01.01.2009,Eni Norge AS,12.388000,,43437,2388594,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.10.2007,01.01.2009,StatoilHydro Petroleum AS,6.654000,,43437,4511658,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.10.2007,01.01.2009,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.10.2007,01.01.2009,StatoilHydro ASA,0.950000,,43437,4511854,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2007,01.10.2007,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2007,01.10.2007,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2007,01.10.2007,Eni Norge AS,12.388000,,43437,2388594,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2007,01.10.2007,Norsk Hydro Petroleum AS,6.654000,,43437,4524355,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2007,01.10.2007,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,01.01.2007,01.10.2007,Statoil ASA (old),0.950000,,43437,1622484,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,15.12.2003,01.01.2007,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,15.12.2003,01.01.2007,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,15.12.2003,01.01.2007,Eni Norge AS,12.388000,,43437,2388594,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,15.12.2003,01.01.2007,Norsk Hydro Produksjon AS,6.654000,,43437,430,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,15.12.2003,01.01.2007,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,15.12.2003,01.01.2007,Statoil ASA (old),0.950000,,43437,1622484,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,06.05.2003,15.12.2003,Total E&P Norge AS,39.896000,,43437,2410708,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,06.05.2003,15.12.2003,ConocoPhillips Skandinavia AS,35.112000,,43437,2410696,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,06.05.2003,15.12.2003,Norsk Agip AS,12.388000,,43437,45,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,06.05.2003,15.12.2003,Norsk Hydro Produksjon AS,6.654000,,43437,430,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,06.05.2003,15.12.2003,Petoro AS,5.000000,,43437,1626839,03.10.2019,24.01.2020
ALBUSKJELL,018,PRODUCTION LICENSE,25.04.1975,,06.05.2003,15.12.2003,Statoil ASA (old),0.950000,,43437,1622484,03.10.2019,24.01.2020
